InvoiceNo,JournalNo,OrderID,InvoiceDate,Store,Salesperson,Payment,SKU,Category,Product,Brand,Qty,UnitPrice,Discount,NetRevenue,VATRate,VATOutput,InvoiceTotal,UnitCost,TotalCost,GrossProfit,MarginPct,AR_Debit,Revenue_Credit,VATOutput_Credit,COGS_Debit,Inventory_Credit,AR_Account,Revenue_Account,VAT_Account,COGS_Account,Inventory_Account
INV20260600001,JV20260600001,SO20260600001,2026-06-26,HN-CG,NV021,Thẻ,RC-DBD450,Nồi cơm,Cuckoo 1.8L,Senko,1,629895,0.07,585802,0.08,46864,632666,367000,367000,218802,0.3735,632666,585802,46864,367000,367000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600002,JV20260600002,SO20260600002,2026-06-02,HCM-Q1,NV006,Trả góp,RF-4D9AFB,Tủ lạnh,Aqua 250L,Aqua,2,18842403,0.06,35423717,0.08,2833897,38257614,14724000,29448000,5975717,0.1687,38257614,35423717,2833897,29448000,29448000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600003,JV20260600003,SO20260600003,2026-06-26,HCM-Q1,NV021,Chuyển khoản,RF-1BAC8F,Tủ lạnh,Panasonic 300L,Electrolux,3,18251329,0.05,52016287,0.08,4161302,56177589,13580000,40740000,11276287,0.2168,56177589,52016287,4161302,40740000,40740000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600004,JV20260600004,SO20260600004,2026-06-09,HN-CG,NV018,Tiền mặt,RF-F96CEA,Tủ lạnh,LG 420L,Sharp,2,20541051,0.1,36973891,0.08,2957911,39931802,16140000,32280000,4693891,0.127,39931802,36973891,2957911,32280000,32280000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600005,JV20260600005,SO20260600005,2026-06-24,HN-HBT,NV015,Tiền mặt,AC-48B1DF,Máy lạnh,Panasonic 1.5HP,Senko,3,13851007,0.03,40306430,0.08,3224514,43530944,11331000,33993000,6313430,0.1566,43530944,40306430,3224514,33993000,33993000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600006,JV20260600006,SO20260600006,2026-06-22,CT-NK,NV015,Thẻ,VC-51D140,Máy hút bụi,Xiaomi G10,Casper,3,9534458,0.11,25457002,0.08,2036560,27493562,6924000,20772000,4685002,0.184,27493562,25457002,2036560,20772000,20772000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600007,JV20260600007,SO20260600007,2026-06-08,HCM-Q7,NV008,Thẻ,FN-63D039,Quạt,Asia,Mitsubishi,2,1713734,0.08,3153270,0.08,252261,3405531,951000,1902000,1251270,0.3968,3405531,3153270,252261,1902000,1902000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600008,JV20260600008,SO20260600008,2026-06-29,HN-HBT,NV030,Chuyển khoản,VC-049BC9,Máy hút bụi,Xiaomi G10,Mitsubishi,3,3813516,0.09,10410898,0.08,832871,11243769,2577000,7731000,2679898,0.2574,11243769,10410898,832871,7731000,7731000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600009,JV20260600009,SO20260600009,2026-06-24,HCM-TB,NV002,Trả góp,TV-E37EE9,TV,"Samsung 55"" 4K",Casper,1,20226894,0.11,18001935,0.08,1440154,19442089,17763000,17763000,238935,0.0133,19442089,18001935,1440154,17763000,17763000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600010,JV20260600010,SO20260600010,2026-06-09,HN-HBT,NV010,Chuyển khoản,FN-441B27,Quạt,Senko,Samsung,2,690908,0.17,1146907,0.08,91752,1238659,446000,892000,254907,0.2223,1238659,1146907,91752,892000,892000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
