ShipmentID,PickNo,OrderID,OrderDate,ShippedAt,DeliveredAt,Store,Warehouse,SKU,Category,Product,Brand,Qty,UnitCost,TotalCost,Carrier,DeliveryFee,DeliveryStatus
SHIP20260600001,PICK20260600001,SO20260600001,2026-06-26 17:14,2026-06-27 00:57,2026-06-27 20:09,HN-CG,WH-HN-01,RC-DBD450,Nồi cơm,Cuckoo 1.8L,Senko,1,367000,367000,GrabExpress,45000,Đã giao
SHIP20260600002,PICK20260600002,SO20260600002,2026-06-02 09:58,2026-06-02 18:08,2026-06-03 06:41,HCM-Q1,WH-HCM-01,RF-4D9AFB,Tủ lạnh,Aqua 250L,Aqua,2,14724000,29448000,Xe tải thuê ngoài,120000,Hoàn tất
SHIP20260600003,PICK20260600003,SO20260600003,2026-06-26 17:04,2026-06-27 02:48,2026-06-28 03:11,HCM-Q1,WH-HCM-01,RF-1BAC8F,Tủ lạnh,Panasonic 300L,Electrolux,3,13580000,40740000,GrabExpress,215000,Đã giao
SHIP20260600004,PICK20260600004,SO20260600004,2026-06-09 08:30,2026-06-09 10:34,2026-06-10 05:41,HN-CG,WH-HN-01,RF-F96CEA,Tủ lạnh,LG 420L,Sharp,2,16140000,32280000,GrabExpress,205000,Đã giao
SHIP20260600005,PICK20260600005,SO20260600005,2026-06-24 13:22,2026-06-25 05:21,2026-06-26 15:23,HN-HBT,WH-HN-02,AC-48B1DF,Máy lạnh,Panasonic 1.5HP,Senko,3,11331000,33993000,GHN,155000,Đã giao
SHIP20260600006,PICK20260600006,SO20260600006,2026-06-22 18:40,2026-06-23 12:49,2026-06-23 20:51,CT-NK,WH-CT-01,VC-51D140,Máy hút bụi,Xiaomi G10,Casper,3,6924000,20772000,Nội bộ,300000,Đã giao
SHIP20260600007,PICK20260600007,SO20260600007,2026-06-08 11:26,2026-06-09 05:02,2026-06-09 09:16,HCM-Q7,WH-HCM-02,FN-63D039,Quạt,Asia,Mitsubishi,2,951000,1902000,GrabExpress,0,Đã giao
SHIP20260600008,PICK20260600008,SO20260600008,2026-06-29 18:52,2026-06-30 10:56,2026-07-01 04:28,HN-HBT,WH-HN-02,VC-049BC9,Máy hút bụi,Xiaomi G10,Mitsubishi,3,2577000,7731000,GrabExpress,25000,Đã giao
SHIP20260600009,PICK20260600009,SO20260600009,2026-06-24 12:29,2026-06-25 07:06,2026-06-25 15:43,HCM-TB,WH-HCM-03,TV-E37EE9,TV,"Samsung 55"" 4K",Casper,1,17763000,17763000,GrabExpress,125000,Đã giao
SHIP20260600010,PICK20260600010,SO20260600010,2026-06-09 13:21,2026-06-09 21:16,2026-06-10 09:17,HN-HBT,WH-HN-02,FN-441B27,Quạt,Senko,Samsung,2,446000,892000,Xe tải thuê ngoài,45000,Đã giao
SHIP20260600011,PICK20260600011,SO20260600011,2026-06-03 15:18,2026-06-03 20:00,2026-06-05 01:36,DN-HC,WH-DN-01,TV-7BABFF,TV,"Sony 65""",Aqua,3,30016000,90048000,Ahamove,120000,Đã giao
SHIP20260600012,PICK20260600012,SO20260600012,2026-06-07 16:04,2026-06-08 09:23,2026-06-08 20:51,HCM-TB,WH-HCM-03,AC-EA5153,Máy lạnh,Casper 1HP,Sunhouse,2,10406000,20812000,Ahamove,115000,Đã giao
SHIP20260600013,PICK20260600013,SO20260600013,2026-06-11 14:29,2026-06-12 08:58,2026-06-13 13:15,HCM-Q1,WH-HCM-01,BL-271795,Máy xay,Panasonic Blender,Sony,1,1134000,1134000,Xe tải thuê ngoài,45000,Hoàn tất
SHIP20260600014,PICK20260600014,SO20260600014,2026-06-27 17:39,2026-06-28 11:42,2026-06-29 17:25,HCM-Q7,WH-HCM-02,RF-A4EB7F,Tủ lạnh,Aqua 250L,Asia,1,17846000,17846000,GHN,245000,Đã giao
SHIP20260600015,PICK20260600015,SO20260600015,2026-06-16 13:00,2026-06-16 22:36,2026-06-17 02:35,BD-TDM,WH-BD-01,TV-751610,TV,"TCL 50""",Daikin,2,9498000,18996000,Ahamove,270000,Đã giao
SHIP20260600016,PICK20260600016,SO20260600016,2026-06-01 11:50,2026-06-01 15:08,2026-06-02 20:51,HN-CG,WH-HN-01,RC-F33CDE,Nồi cơm,Panasonic 1.8L,Senko,3,1681000,5043000,GrabExpress,45000,Đã giao
SHIP20260600017,PICK20260600017,SO20260600017,2026-06-14 09:10,2026-06-15 02:49,2026-06-16 10:52,HN-HBT,WH-HN-02,RF-309876,Tủ lạnh,Aqua 250L,LG,3,14935000,44805000,Xe tải thuê ngoài,125000,Giao lại
SHIP20260600018,PICK20260600018,SO20260600018,2026-06-26 13:03,2026-06-26 19:56,2026-06-27 09:54,HN-CG,WH-HN-01,WM-255403,Máy giặt,LG 9kg,Daikin,3,14432000,43296000,GHN,125000,Hoàn tất
SHIP20260600019,PICK20260600019,SO20260600019,2026-06-17 19:03,2026-06-18 05:55,2026-06-19 03:00,DN-HC,WH-DN-01,VC-110A19,Máy hút bụi,Philips FC,Philips,3,7961000,23883000,Ahamove,165000,Đã giao
SHIP20260600020,PICK20260600020,SO20260600020,2026-06-26 12:17,2026-06-26 15:45,2026-06-26 19:23,HN-CG,WH-HN-01,AC-F6180D,Máy lạnh,Panasonic 1.5HP,Electrolux,2,7443000,14886000,GHN,180000,Giao lại
SHIP20260600021,PICK20260600021,SO20260600021,2026-06-26 19:59,2026-06-27 07:48,2026-06-27 16:55,CT-NK,WH-CT-01,BL-7EF713,Máy xay,Sunhouse Blender,Sharp,3,1515000,4545000,Nội bộ,45000,Đã giao
SHIP20260600022,PICK20260600022,SO20260600022,2026-06-02 08:49,2026-06-02 22:45,2026-06-03 05:19,HCM-Q1,WH-HCM-01,TV-7D99ED,TV,"Sony 65""",Philips,1,16973000,16973000,Xe tải thuê ngoài,215000,Đã giao
SHIP20260600023,PICK20260600023,SO20260600023,2026-06-15 09:05,2026-06-15 21:29,2026-06-16 15:14,HCM-Q7,WH-HCM-02,FN-C25C4D,Quạt,Senko,Asia,1,538000,538000,GrabExpress,0,Đã giao
SHIP20260600024,PICK20260600024,SO20260600024,2026-06-15 13:00,2026-06-16 05:10,2026-06-16 17:53,HCM-Q7,WH-HCM-02,FN-C79946,Quạt,Senko,Daikin,1,519000,519000,Ahamove,45000,Giao lại
SHIP20260600025,PICK20260600025,SO20260600025,2026-06-15 19:54,2026-06-16 08:46,2026-06-16 18:20,HN-CG,WH-HN-01,MW-9E4FC6,Lò vi sóng,Sharp 20L,Electrolux,3,1456000,4368000,GHN,90000,Hoàn tất
