InvoiceNo,JournalNo,OrderID,InvoiceDate,Store,Salesperson,Payment,SKU,Category,Product,Brand,Qty,UnitPrice,Discount,NetRevenue,VATRate,VATOutput,InvoiceTotal,UnitCost,TotalCost,GrossProfit,MarginPct,AR_Debit,Revenue_Credit,VATOutput_Credit,COGS_Debit,Inventory_Credit,AR_Account,Revenue_Account,VAT_Account,COGS_Account,Inventory_Account,ScenarioID,LegalEntityID,ScenarioCurrency,CurrencyScope,ReportingTimezone,EvidenceType,AuthenticSourcePath,AuthenticSourceSHA256,AuthenticSourceRowNumber,GenerationPolicyVersion
INV20260500001,JV20260500001,SO20260500001,2026-05-14,CT-NK,NV009,Thẻ,AC-75386E,Máy lạnh,Mitsubishi 1.5HP,Cuckoo,3,20868918,0.02,61354618,0.08,4908369,66262987,16776000,50328000,11026618,0.1797,66262987,61354618,4908369,50328000,50328000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,2,1.0.0
INV20260500002,JV20260500002,SO20260500002,2026-05-02,DN-HC,NV005,Thẻ,FN-633F9D,Quạt,Panasonic,Cuckoo,2,1244236,0.08,2289394,0.08,183151,2472545,925000,1850000,439394,0.1919,2472545,2289394,183151,1850000,1850000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,3,1.0.0
INV20260500003,JV20260500003,SO20260500003,2026-05-23,CT-NK,NV003,Chuyển khoản,AC-389085,Máy lạnh,Mitsubishi 1.5HP,Samsung,2,19020489,0.05,36138929,0.08,2891114,39030043,15656000,31312000,4826929,0.1336,39030043,36138929,2891114,31312000,31312000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,4,1.0.0
INV20260500004,JV20260500004,SO20260500004,2026-05-18,HCM-TB,NV019,Chuyển khoản,WM-F25444,Máy giặt,LG 9kg,Xiaomi,2,6918106,0.14,11899142,0.08,951931,12851073,5232000,10464000,1435142,0.1206,12851073,11899142,951931,10464000,10464000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,5,1.0.0
INV20260500005,JV20260500005,SO20260500005,2026-05-09,HCM-Q1,NV022,Ví điện tử,RF-F6944C,Tủ lạnh,LG 420L,Sunhouse,2,16904093,0.05,32117776,0.08,2569422,34687198,13631000,27262000,4855776,0.1512,34687198,32117776,2569422,27262000,27262000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,6,1.0.0
INV20260500006,JV20260500006,SO20260500006,2026-05-16,HCM-TB,NV025,Ví điện tử,AC-E7C43D,Máy lạnh,Panasonic 1.5HP,Casper,3,9244448,0.1,24960009,0.08,1996800,26956809,7417000,22251000,2709009,0.1085,26956809,24960009,1996800,22251000,22251000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,7,1.0.0
INV20260500007,JV20260500007,SO20260500007,2026-05-08,HCM-TB,NV004,Trả góp,RF-20BB5C,Tủ lạnh,Panasonic 300L,Sharp,3,11121772,0.09,30362437,0.08,2428994,32791431,8922000,26766000,3596437,0.1185,32791431,30362437,2428994,26766000,26766000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,8,1.0.0
INV20260500008,JV20260500008,SO20260500008,2026-05-25,HCM-Q1,NV012,Chuyển khoản,BL-3258EA,Máy xay,Panasonic Blender,Mitsubishi,1,1566581,0.13,1362925,0.08,109034,1471959,1100000,1100000,262925,0.1929,1471959,1362925,109034,1100000,1100000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,9,1.0.0
INV20260500009,JV20260500009,SO20260500009,2026-05-28,BD-TDM,NV018,Trả góp,VC-98D4CD,Máy hút bụi,Xiaomi G10,Cuckoo,1,7249593,0.03,7032105,0.08,562568,7594673,5109000,5109000,1923105,0.2735,7594673,7032105,562568,5109000,5109000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,10,1.0.0
INV20260500010,JV20260500010,SO20260500010,2026-05-24,BD-TDM,NV024,Chuyển khoản,WM-6ADDCB,Máy giặt,LG 9kg,Electrolux,2,10224349,0.03,19835237,0.08,1586818,21422055,7645000,15290000,4545237,0.2291,21422055,19835237,1586818,15290000,15290000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,11,1.0.0
INV20260500011,JV20260500011,SO20260500011,2026-05-07,HCM-TB,NV013,Tiền mặt,WM-9170CB,Máy giặt,LG 9kg,LG,1,16412321,0.04,15755828,0.08,1260466,17016294,12703000,12703000,3052828,0.1938,17016294,15755828,1260466,12703000,12703000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa,commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,VND,all_declared_accounting_money_columns,Asia/Ho_Chi_Minh,authentic_anchored_semi_synthetic_evidence,sample data/Accounting_ERP_May_2026.csv,3c59da1c10c67ab974dfd204b737402aff1c28d748665949942579fb5fb1a2fd,12,1.0.0
