ScenarioID,LegalEntityID,MovementID,MovementType,PostingDate,ReportingPeriod,ItemID,Product,Category,Brand,WarehouseID,UOM,QuantityDelta,SourceOrderID,SourceShipmentID,AnchorSalesPath,AnchorSalesSHA256,AnchorSalesRowNumber,AnchorLogisticsPath,AnchorLogisticsSHA256,AnchorLogisticsRowNumber,ProvenanceRole,EvidenceType,GenerationPolicyVersion
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-06-7bebac1a1553c7dd,opening_balance,2026-06-01,2026-06,AC-0202C4,Mitsubishi 1.5HP,Máy lạnh,Senko,WH-HCM-01,EA,131,,,,,,,,,prior_snapshot_carry_forward,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-06-a26ef33c0892bd4f,opening_balance,2026-06-01,2026-06,AC-0202C4,Mitsubishi 1.5HP,Máy lạnh,Senko,WH-HN-01,EA,187,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-06-c2ffe777325479e1,opening_balance,2026-06-01,2026-06,AC-029767,Daikin 1HP,Máy lạnh,Sunhouse,WH-BD-01,EA,109,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-06-82630714f1dce4f7,opening_balance,2026-06-01,2026-06,AC-029767,Daikin 1HP,Máy lạnh,Sunhouse,WH-CT-01,EA,158,,,,,,,,,prior_snapshot_carry_forward,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-06-b2da241915de0109,opening_balance,2026-06-01,2026-06,AC-029767,Daikin 1HP,Máy lạnh,Sunhouse,WH-DN-01,EA,127,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-06-c16756cafd613393,opening_balance,2026-06-01,2026-06,AC-029767,Daikin 1HP,Máy lạnh,Sunhouse,WH-HCM-01,EA,210,,,,,,,,,prior_snapshot_carry_forward,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-06-25120ce0b40422fc,opening_balance,2026-06-01,2026-06,AC-029767,Daikin 1HP,Máy lạnh,Sunhouse,WH-HN-02,EA,57,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-06-64eb331f100ac1df,opening_balance,2026-06-01,2026-06,AC-076657,Mitsubishi 1.5HP,Máy lạnh,Xiaomi,WH-BD-01,EA,114,,,,,,,,,prior_snapshot_carry_forward,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-06-1efbefc79b1d7993,opening_balance,2026-06-01,2026-06,AC-076657,Mitsubishi 1.5HP,Máy lạnh,Xiaomi,WH-CT-01,EA,169,,,,,,,,,prior_snapshot_carry_forward,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-06-35ed64695af80195,opening_balance,2026-06-01,2026-06,AC-076657,Mitsubishi 1.5HP,Máy lạnh,Xiaomi,WH-HCM-01,EA,153,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-06-a629086a6b747570,opening_balance,2026-06-01,2026-06,AC-0877C5,Daikin 1HP,Máy lạnh,Sony,WH-HCM-01,EA,156,,,,,,,,,prior_snapshot_carry_forward,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-06-fe31c4411326f507,opening_balance,2026-06-01,2026-06,AC-0877C5,Daikin 1HP,Máy lạnh,Sony,WH-HCM-02,EA,113,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-06-67898555fc4fac84,opening_balance,2026-06-01,2026-06,AC-0877C5,Daikin 1HP,Máy lạnh,Sony,WH-HN-01,EA,118,,,,,,,,,prior_snapshot_carry_forward,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-06-92a8c2b97b680414,opening_balance,2026-06-01,2026-06,AC-190181,Mitsubishi 1.5HP,Máy lạnh,Sharp,WH-CT-01,EA,132,,,,,,,,,prior_snapshot_carry_forward,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-06-5b457d3dc02a16df,opening_balance,2026-06-01,2026-06,AC-190181,Mitsubishi 1.5HP,Máy lạnh,Sharp,WH-DN-01,EA,225,,,,,,,,,prior_snapshot_carry_forward,authentic_anchored_semi_synthetic_evidence,1.0.0
