ScenarioID,LegalEntityID,MovementID,MovementType,PostingDate,ReportingPeriod,ItemID,Product,Category,Brand,WarehouseID,UOM,QuantityDelta,SourceOrderID,SourceShipmentID,AnchorSalesPath,AnchorSalesSHA256,AnchorSalesRowNumber,AnchorLogisticsPath,AnchorLogisticsSHA256,AnchorLogisticsRowNumber,ProvenanceRole,EvidenceType,GenerationPolicyVersion
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-7bebac1a1553c7dd,opening_balance,2026-05-01,2026-05,AC-0202C4,Mitsubishi 1.5HP,Máy lạnh,Senko,WH-HCM-01,EA,85,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-82630714f1dce4f7,opening_balance,2026-05-01,2026-05,AC-029767,Daikin 1HP,Máy lạnh,Sunhouse,WH-CT-01,EA,117,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-c16756cafd613393,opening_balance,2026-05-01,2026-05,AC-029767,Daikin 1HP,Máy lạnh,Sunhouse,WH-HCM-01,EA,155,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-64eb331f100ac1df,opening_balance,2026-05-01,2026-05,AC-076657,Mitsubishi 1.5HP,Máy lạnh,Xiaomi,WH-BD-01,EA,73,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-1efbefc79b1d7993,opening_balance,2026-05-01,2026-05,AC-076657,Mitsubishi 1.5HP,Máy lạnh,Xiaomi,WH-CT-01,EA,143,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-a629086a6b747570,opening_balance,2026-05-01,2026-05,AC-0877C5,Daikin 1HP,Máy lạnh,Sony,WH-HCM-01,EA,144,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-67898555fc4fac84,opening_balance,2026-05-01,2026-05,AC-0877C5,Daikin 1HP,Máy lạnh,Sony,WH-HN-01,EA,88,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-92a8c2b97b680414,opening_balance,2026-05-01,2026-05,AC-190181,Mitsubishi 1.5HP,Máy lạnh,Sharp,WH-CT-01,EA,111,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-5b457d3dc02a16df,opening_balance,2026-05-01,2026-05,AC-190181,Mitsubishi 1.5HP,Máy lạnh,Sharp,WH-DN-01,EA,175,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-7f16cb9de21e6d22,opening_balance,2026-05-01,2026-05,AC-1FFCA0,Mitsubishi 1.5HP,Máy lạnh,Asia,WH-CT-01,EA,197,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-9a7d2ee75e1da0f7,opening_balance,2026-05-01,2026-05,AC-1FFCA0,Mitsubishi 1.5HP,Máy lạnh,Asia,WH-HCM-03,EA,75,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-e93c90aafbca04ba,opening_balance,2026-05-01,2026-05,AC-249FC9,Daikin 1HP,Máy lạnh,Panasonic,WH-HCM-03,EA,197,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-f717804ab2e2644a,opening_balance,2026-05-01,2026-05,AC-310514,Daikin 1HP,Máy lạnh,Cuckoo,WH-HCM-03,EA,172,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-ea02e5f6b9a1a66c,opening_balance,2026-05-01,2026-05,AC-389085,Mitsubishi 1.5HP,Máy lạnh,Samsung,WH-CT-01,EA,160,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-42d9a68b22a1a027,opening_balance,2026-05-01,2026-05,AC-389085,Mitsubishi 1.5HP,Máy lạnh,Samsung,WH-HCM-02,EA,53,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-9a7c204ebf99992b,opening_balance,2026-05-01,2026-05,AC-3E9D78,Mitsubishi 1.5HP,Máy lạnh,Electrolux,WH-BD-01,EA,188,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-7c9f2dc166a27a4b,opening_balance,2026-05-01,2026-05,AC-3E9D78,Mitsubishi 1.5HP,Máy lạnh,Electrolux,WH-CT-01,EA,154,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-2b66dd42dd108850,opening_balance,2026-05-01,2026-05,AC-462093,Casper 1HP,Máy lạnh,Daikin,WH-HCM-02,EA,108,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-39e21d9e29bf6360,opening_balance,2026-05-01,2026-05,AC-462093,Casper 1HP,Máy lạnh,Daikin,WH-HN-01,EA,130,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-8af1d407ec4f90cc,opening_balance,2026-05-01,2026-05,AC-48A793,Panasonic 1.5HP,Máy lạnh,Sony,WH-CT-01,EA,146,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-c39dc7433c5de0af,opening_balance,2026-05-01,2026-05,AC-48A793,Panasonic 1.5HP,Máy lạnh,Sony,WH-HCM-02,EA,63,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-18366a0034554872,opening_balance,2026-05-01,2026-05,AC-48B1DF,Panasonic 1.5HP,Máy lạnh,Senko,WH-HN-01,EA,120,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,OPEN-2026-05-a51dea451d73b5ad,opening_balance,2026-05-01,2026-05,AC-496EEC,Casper 1HP,Máy lạnh,Philips,WH-CT-01,EA,85,,,,,,,,,scenario_generated_opening,authentic_anchored_semi_synthetic_evidence,1.0.0
