ScenarioID,LegalEntityID,SnapshotID,AsOfDate,ReportingPeriod,ItemID,Product,Category,Brand,WarehouseID,UOM,OpeningQuantity,ReceivedQuantity,CustomerReturnQuantity,SoldQuantity,SupplierReturnQuantity,DamageAdjustmentQuantity,QuantityOnHand,SnapshotGrain,EvidenceType,GenerationPolicyVersion
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-06-7bebac1a1553c7dd,2026-06-30,2026-06,AC-0202C4,Mitsubishi 1.5HP,Máy lạnh,Senko,WH-HCM-01,EA,131,0,0,0,0,0,131,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-06-a26ef33c0892bd4f,2026-06-30,2026-06,AC-0202C4,Mitsubishi 1.5HP,Máy lạnh,Senko,WH-HN-01,EA,187,63,0,5,0,0,245,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-06-c2ffe777325479e1,2026-06-30,2026-06,AC-029767,Daikin 1HP,Máy lạnh,Sunhouse,WH-BD-01,EA,109,43,0,3,0,0,149,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-06-82630714f1dce4f7,2026-06-30,2026-06,AC-029767,Daikin 1HP,Máy lạnh,Sunhouse,WH-CT-01,EA,158,25,0,1,0,0,182,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-06-b2da241915de0109,2026-06-30,2026-06,AC-029767,Daikin 1HP,Máy lạnh,Sunhouse,WH-DN-01,EA,127,42,0,2,0,0,167,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-06-c16756cafd613393,2026-06-30,2026-06,AC-029767,Daikin 1HP,Máy lạnh,Sunhouse,WH-HCM-01,EA,210,16,0,3,0,0,223,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-06-25120ce0b40422fc,2026-06-30,2026-06,AC-029767,Daikin 1HP,Máy lạnh,Sunhouse,WH-HN-02,EA,57,14,0,1,0,0,70,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-06-64eb331f100ac1df,2026-06-30,2026-06,AC-076657,Mitsubishi 1.5HP,Máy lạnh,Xiaomi,WH-BD-01,EA,114,58,0,7,0,0,165,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-06-1efbefc79b1d7993,2026-06-30,2026-06,AC-076657,Mitsubishi 1.5HP,Máy lạnh,Xiaomi,WH-CT-01,EA,169,69,0,3,0,0,235,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-06-35ed64695af80195,2026-06-30,2026-06,AC-076657,Mitsubishi 1.5HP,Máy lạnh,Xiaomi,WH-HCM-01,EA,153,69,0,1,0,0,221,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-06-a629086a6b747570,2026-06-30,2026-06,AC-0877C5,Daikin 1HP,Máy lạnh,Sony,WH-HCM-01,EA,156,63,0,2,0,0,217,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
