ScenarioID,LegalEntityID,SnapshotID,AsOfDate,ReportingPeriod,ItemID,Product,Category,Brand,WarehouseID,UOM,OpeningQuantity,ReceivedQuantity,CustomerReturnQuantity,SoldQuantity,SupplierReturnQuantity,DamageAdjustmentQuantity,QuantityOnHand,SnapshotGrain,EvidenceType,GenerationPolicyVersion
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-05-7bebac1a1553c7dd,2026-05-31,2026-05,AC-0202C4,Mitsubishi 1.5HP,Máy lạnh,Senko,WH-HCM-01,EA,85,48,0,2,0,0,131,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-05-82630714f1dce4f7,2026-05-31,2026-05,AC-029767,Daikin 1HP,Máy lạnh,Sunhouse,WH-CT-01,EA,117,43,0,2,0,0,158,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-05-c16756cafd613393,2026-05-31,2026-05,AC-029767,Daikin 1HP,Máy lạnh,Sunhouse,WH-HCM-01,EA,155,58,0,3,0,0,210,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-05-64eb331f100ac1df,2026-05-31,2026-05,AC-076657,Mitsubishi 1.5HP,Máy lạnh,Xiaomi,WH-BD-01,EA,73,42,0,1,0,0,114,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-05-1efbefc79b1d7993,2026-05-31,2026-05,AC-076657,Mitsubishi 1.5HP,Máy lạnh,Xiaomi,WH-CT-01,EA,143,28,0,2,0,0,169,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-05-a629086a6b747570,2026-05-31,2026-05,AC-0877C5,Daikin 1HP,Máy lạnh,Sony,WH-HCM-01,EA,144,14,0,2,0,0,156,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-05-67898555fc4fac84,2026-05-31,2026-05,AC-0877C5,Daikin 1HP,Máy lạnh,Sony,WH-HN-01,EA,88,33,0,3,0,0,118,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-05-92a8c2b97b680414,2026-05-31,2026-05,AC-190181,Mitsubishi 1.5HP,Máy lạnh,Sharp,WH-CT-01,EA,111,23,0,2,0,0,132,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-05-5b457d3dc02a16df,2026-05-31,2026-05,AC-190181,Mitsubishi 1.5HP,Máy lạnh,Sharp,WH-DN-01,EA,175,53,0,3,0,0,225,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-05-7f16cb9de21e6d22,2026-05-31,2026-05,AC-1FFCA0,Mitsubishi 1.5HP,Máy lạnh,Asia,WH-CT-01,EA,197,58,0,3,0,0,252,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
commerce_distribution_erp_scenario_v1,LIGHTBI_SCENARIO_ENTITY_001,SNAP-2026-05-9a7d2ee75e1da0f7,2026-05-31,2026-05,AC-1FFCA0,Mitsubishi 1.5HP,Máy lạnh,Asia,WH-HCM-03,EA,75,17,0,3,0,0,89,one_row_per_item_warehouse_as_of,authentic_anchored_semi_synthetic_evidence,1.0.0
