khách hàng,phân khúc,số đơn,doanh thu,giữ chân,mua lần cuối,đóng góp,hành vi
CUST-001,Gold,45,12500.00,Active,2023-10-01,35.5,Frequent
CUST-002,,12,3200.00,At Risk,2023-05-15,25.0,Occasional
CUST-003,Bronze,3,450.00,Churned,,15.0,
CUST-004,Platinum,,45000.00,Active,2023-10-10,40.0,Loyalist
,Silver,15,4000.00,Active,2023-09-25,28.0,Occasional
CUST-006,Gold,38,11000.00,,2023-06-10,32.0,Frequent
CUST-007,Bronze,5,800.00,Active,2023-09-01,,Occasional
CUST-008,Platinum,95,,Active,2023-10-05,42.0,Loyalist
CUST-009,Silver,10,2500.00,Churned,2022-12-05,22.0,
CUST-010,,50,15000.00,Active,2023-10-08,36.0,Frequent
CUST-011,Bronze,2,300.00,Churned,,10.0,One-off
CUST-012,Silver,,4800.00,Active,2023-09-30,26.0,Occasional
,Platinum,150,60000.00,Active,2023-10-12,45.0,Loyalist
CUST-014,Gold,42,13000.00,At Risk,2023-04-20,,Frequent
CUST-015,Bronze,6,,Active,2023-08-15,19.0,Occasional
