period,revenue_total,cost_total,profit_net,margin_pct,expense_misc,discount_amt,purchase_cost_amt,operational_cost_amt,supplier_cost_amt
2023-Q1,150000,100000,50000,33.3,5000,2000,60000,35000,20000
2023-Q2,160000,105000,55000,34.3,5200,2500,62000,37800,21000
2023-Q3,140000,98000,42000,30.0,4800,1500,58000,35200,19000
2023-Q4,180000,115000,65000,36.1,6000,3000,70000,39000,23000
2022-Q1,130000,90000,40000,30.7,4500,1000,55000,30500,18000
2022-Q2,135000,92000,43000,31.8,4600,1200,56000,31400,18500
2022-Q3,145000,96000,49000,33.7,4900,1800,59000,32100,19500
2022-Q4,155000,102000,53000,34.1,5100,2200,61000,35900,20500
2021-Q1,120000,85000,35000,29.1,4000,800,50000,31000,16000
2021-Q2,125000,87000,38000,30.4,4200,900,52000,30800,16500
2021-Q3,128000,89000,39000,30.4,4300,1100,53000,31700,17000
2021-Q4,138000,94000,44000,31.8,4700,1400,57000,32300,18500
2020-Q1,110000,80000,30000,27.2,3800,500,48000,28200,15000
2020-Q2,115000,82000,33000,28.6,3900,600,49000,29100,15500
2020-Q3,118000,84000,34000,28.8,4100,700,50000,29900,16000
